time [s],adc_buf[0],
4.12859,2042,
4.13059,2035,
4.13259,2042,
4.13459,2044,
4.1366,2040,
4.13819,2046,
4.14017,2039,
4.14218,2033,
4.14417,2036,
4.1462,2042,
4.14817,2035,
4.15019,2040,
4.15219,2047,
4.15418,2043,
4.1559,2038,
4.15761,2038,
4.15919,2040,
4.16117,2042,
4.1629,2037,
4.16459,2039,
4.1666,2038,
4.16859,2042,
4.17061,2033,
4.1732,2038,
4.17517,2038,
4.17717,2039,
4.17917,2041,
4.18117,2040,
4.18318,2031,
4.18459,2043,
4.18617,2037,
4.18817,2039,
4.18963,2036,
4.1916,2037,
4.19359,2042,
4.1956,2040,
4.19759,2040,
4.1996,2037,
4.2016,2031,
4.2036,2032,
4.20528,2038,
4.20718,2037,
4.20918,2041,
4.21117,2043,
4.21317,2036,
4.21518,2047,
4.21718,2041,
4.21917,2042,
4.22059,2040,
4.22242,2038,
4.2246,2034,
4.2266,2039,
4.22859,2052,
4.23063,2043,
4.23221,2041,
4.23417,2032,
4.23619,2039,
4.23818,2041,
4.24019,2038,
4.24218,2038,
4.24417,2041,
4.2462,2043,
4.24819,2039,
4.25017,2043,
4.25159,2034,
4.2536,2034,
4.25562,2042,
4.25718,2041,
4.2592,2039,
4.26096,2040,
4.26242,2065,
4.26423,2040,
4.2656,2037,
4.2676,2036,
4.26962,2039,
4.27093,2037,
4.27317,2040,
4.27518,2038,
4.2766,2040,
4.27855,2036,
4.2806,2037,
4.28259,2037,
4.28459,2041,
4.28661,2044,
4.28859,2042,
4.29059,2039,
4.29259,2039,
4.29459,2037,
4.2966,2026,
4.29819,2029,
4.30017,2039,
4.30224,2043,
4.30418,2046,
4.30618,2042,
4.3076,2044,
4.30959,2043,
4.31161,2044,
4.31359,2036,
4.31559,2039,
4.31759,2038,
4.3196,2041,
4.32159,2045,
4.32359,2043,
4.3256,2044,
4.3276,2045,
4.32947,2039,
4.33118,2041,
4.33319,2041,
4.33518,2037,
4.33717,2043,
4.33859,2041,
4.34018,2036,
4.34218,2040,
4.34396,2039,
4.3462,2041,
4.34819,2042,
4.35017,2040,
4.35217,2039,
4.35418,2038,
4.35618,2041,
4.35785,2033,
4.3596,2039,
4.3615,2041,
4.36418,2036,
4.36618,2043,
4.36817,2037,
4.3699,2047,
4.37217,2035,
4.37418,2042,
4.37619,2042,
4.37818,2041,
4.38019,2040,
4.38218,2049,
4.38417,2037,
4.38625,2037,
4.38818,2034,
4.3906,2040,
4.3926,2038,
4.3946,2041,
4.39661,2043,
4.39861,2039,
4.4006,2041,
4.4026,2037,
4.4046,2039,
4.40618,2043,
4.40819,2041,
4.41018,2039,
4.41218,2046,
4.41417,2039,
4.41617,2023,
4.41823,2038,
4.41955,2044,
4.42122,2042,
4.42328,2039,
4.4252,2032,
4.42722,2039,
4.42961,2047,
4.43159,2041,
4.43347,2039,
4.4356,2038,
4.43759,2040,
4.43947,2037,
4.4416,2042,
4.44362,2046,
4.44518,2043,
4.44719,2041,
4.44919,2043,
4.45118,2041,
4.45318,2040,
4.45518,2034,
4.45718,2041,
4.45918,2039,
4.46118,2048,
4.4626,2043,
4.4646,2042,
4.46662,2039,
4.4686,2037,
4.47119,2035,
4.47318,2041,
4.47518,2034,
4.47718,2039,
4.4789,2043,
4.4806,2042,
4.48261,2037,
4.48461,2041,
4.48624,2042,
4.48818,2043,
4.49017,2045,
4.4922,2043,
4.49419,2041,
4.49618,2040,
4.49819,2037,
4.5002,2042,
4.50218,2037,
4.50361,2036,
4.5056,2042,
4.50759,2041,
4.50962,2040,
4.5116,2039,
4.51359,2042,
4.5156,2038,
4.5176,2039,
4.51959,2042,
4.52159,2045,
4.52359,2031,
4.52562,2043,
4.5276,2033,
4.5296,2037,
4.53149,2038,
4.5336,2043,
4.53564,2041,
4.5376,2044,
4.5396,2038,
4.54161,2039,
4.5436,2039,
4.54562,2040,
4.54719,2038,
4.54917,2044,
4.55118,2036,
4.55318,2033,
4.55518,2039,
4.55685,2037,
4.55861,2038,
4.5606,2044,
4.5626,2038,
4.56481,2043,
4.56721,2038,
4.56918,2034,
4.57118,2037,
4.57318,2037,
4.5749,2036,
4.57723,2036,
4.57921,2037,
4.58118,2037,
4.58318,2037,
4.58518,2041,
4.58718,2050,
4.58918,2037,
4.59119,2039,
4.59322,2040,
4.5952,2029,
4.59689,2039,
4.59919,2035,
4.60061,2033,
4.6026,2044,
4.6046,2040,
4.60661,2039,
4.6086,2035,
4.6106,2044,
4.6126,2044,
4.61462,2046,
4.61618,2036,
4.61857,2045,
4.6206,2044,
4.62261,2042,
4.62461,2041,
4.62662,2041,
4.6286,2038,
4.63019,2038,
4.63218,2040,
4.63421,2039,
4.63618,2047,
4.63819,2038,
4.64019,2037,
4.6416,2040,
4.64363,2037,
4.64561,2036,
4.6476,2041,
4.64961,2041,
4.65119,2040,
4.65318,2035,
4.65521,2039,
4.65718,2040,
4.65859,2037,
4.66062,2037,
4.66261,2044,
4.6646,2038,
4.6666,2039,
4.66861,2048,
4.67061,2040,
4.6726,2036,
4.67464,2040,
4.67662,2039,
4.67843,2035,
4.68061,2039,
4.6826,2043,
4.68463,2041,
4.68592,2035,
4.68761,2041,
4.68961,2039,
4.69103,2040,
4.69318,2037,
4.69478,2047,
4.69661,2049,
4.6986,2042,
4.7006,2039,
4.7025,2042,
4.7042,2036,
