time [s],filter_volt,
14.4375,1.36141,
14.4395,1.35788,
14.4415,1.35807,
14.4435,1.35809,
14.4455,1.36005,
14.4475,1.36034,
14.4495,1.35505,
14.4515,1.35635,
14.4535,1.35573,
14.4555,1.35715,
14.4575,1.35648,
14.4595,1.35749,
14.4615,1.36008,
14.4635,1.35752,
14.4655,1.3575,
14.4675,1.35539,
14.4695,1.35861,
14.4715,1.35841,
14.4735,1.35794,
14.4755,1.35778,
14.4775,1.35379,
14.4795,1.35847,
14.4811,1.35547,
14.4829,1.35593,
14.4853,1.35407,
14.4875,1.35419,
14.4895,1.35794,
14.4915,1.35471,
14.4935,1.35358,
14.4955,1.35357,
14.4975,1.35753,
14.4995,1.35994,
14.5015,1.35717,
14.5039,1.3572,
14.5059,1.35803,
14.5079,1.36155,
14.5099,1.3588,
14.5119,1.35905,
14.5139,1.35853,
14.5159,1.35993,
14.5179,1.36215,
14.5199,1.35623,
14.5219,1.35593,
14.5235,1.35757,
14.5255,1.35545,
14.5275,1.35784,
14.5295,1.35464,
14.5315,1.35708,
14.5335,1.35808,
14.5355,1.35711,
14.5372,1.35742,
14.5395,1.35531,
14.5415,1.35851,
14.5435,1.35699,
14.5455,1.35748,
14.5475,1.35788,
14.5495,1.35348,
14.5515,1.35774,
14.5539,1.35362,
14.5559,1.35395,
14.5579,1.35157,
14.5599,1.35494,
14.5619,1.35684,
14.5639,1.35359,
14.5658,1.35328,
14.5679,1.35404,
14.5699,1.35874,
14.5715,1.36042,
14.5735,1.35927,
14.5755,1.35807,
14.5775,1.35686,
14.5795,1.361,
14.5815,1.35729,
14.5835,1.35772,
14.5851,1.35721,
14.5869,1.35858,
14.5889,1.36,
14.591,1.35736,
14.5929,1.35646,
14.5949,1.35622,
14.5969,1.3547,
14.5989,1.3574,
14.6009,1.35432,
14.6029,1.35737,
14.6049,1.35793,
14.6069,1.35679,
14.6089,1.35702,
14.611,1.3549,
14.6129,1.3582,
14.6149,1.35629,
14.6169,1.35712,
14.6189,1.35695,
14.6209,1.35395,
14.6229,1.3595,
14.6249,1.35451,
14.6269,1.35417,
14.6289,1.35414,
14.6309,1.35494,
14.6325,1.35799,
14.6345,1.3544,
14.6365,1.35341,
14.6385,1.35312,
14.6405,1.35615,
14.6425,1.3594,
14.6445,1.35881,
14.6459,1.35713,
14.6479,1.3565,
14.6499,1.35755,
14.6519,1.36025,
14.6539,1.35707,
14.6559,1.35747,
14.6579,1.35804,
14.66,1.36049,
14.662,1.35954,
14.6645,1.3566,
14.6659,1.3565,
14.6679,1.35343,
14.6699,1.35465,
14.6718,1.35376,
14.6739,1.35486,
14.6759,1.35884,
14.6779,1.35429,
14.6799,1.35367,
14.6819,1.3528,
14.6839,1.35661,
14.6859,1.35693,
14.6879,1.35625,
14.6899,1.35607,
