time [s],filter_volt,voltage,
13.3822,1.45699,1.59171,
13.3839,1.45552,1.59026,
13.3859,1.45211,1.59026,
13.3879,1.44783,1.55752,
13.3895,1.44374,1.54224,
13.3912,1.44244,1.58298,
13.3929,1.44135,1.24325,
13.3945,1.4375,1.48186,
13.3965,1.43774,1.62008,
13.3985,1.43037,1.36256,
13.4005,1.42805,1.55679,
13.4025,1.42078,1.28399,
13.4045,1.42053,1.51678,
13.4065,1.41725,1.4273,
13.4085,1.41542,1.45349,
13.4105,1.41228,1.42294,
13.4126,1.4099,1.46222,
13.4149,1.40778,1.54442,
13.4165,1.40387,1.48986,
13.4185,1.4043,1.46949,
13.4205,1.40557,1.52842,
13.4225,1.40066,1.41639,
13.4245,1.40287,1.53424,
13.4265,1.39945,1.44913,
13.4285,1.40197,1.53642,
13.4305,1.39841,1.48914,
13.4325,1.40001,1.61353,
13.4345,1.39143,1.40257,
13.4365,1.3924,1.53642,
13.4385,1.3863,1.44476,
13.4405,1.38644,1.53351,
13.4425,1.38422,1.50951,
13.4445,1.38482,1.54151,
13.4461,1.37927,1.47313,
13.4479,1.38111,1.46731,
13.4499,1.37846,1.40257,
13.4519,1.3789,1.43094,
13.4539,1.37924,1.50005,
13.4559,1.3794,1.4644,
13.4579,1.37798,1.42657,
13.4599,1.37892,1.5066,
13.4619,1.37805,1.45567,
13.4639,1.37992,1.49568,
13.4659,1.37888,1.46295,
13.4679,1.38207,1.54151,
13.4705,1.3775,1.48332,
13.4725,1.38066,1.53933,
13.4745,1.37917,1.64845,
13.4765,1.38054,1.27089,
13.4781,1.37582,1.52551,
13.4799,1.37923,1.55243,
13.4819,1.37096,1.40111,
13.4839,1.37283,1.50369,
13.4859,1.36774,1.43312,
13.4875,1.36829,1.52769,
13.4895,1.36823,1.40766,
13.4919,1.36963,1.53788,
13.4939,1.36805,1.47095,
13.4959,1.36855,1.51605,
13.4979,1.36732,1.50223,
13.4999,1.3668,1.50951,
13.5019,1.36893,1.5306,
13.5039,1.37021,1.52987,
13.5059,1.36882,1.48332,
13.5079,1.36967,1.54151,
13.5099,1.37073,1.54733,
13.5119,1.37161,1.51387,
13.5139,1.37216,1.53351,
13.5159,1.37461,1.56043,
13.5179,1.37143,1.48623,
13.5199,1.37516,1.5437,
13.5219,1.37357,1.55388,
13.5239,1.37587,1.52987,
13.5265,1.3729,1.52624,
13.5282,1.37314,1.50732,
13.5305,1.37157,1.53424,
13.5325,1.37012,1.49132,
13.5345,1.36944,1.54952,
13.5375,1.36754,1.38875,
13.5395,1.37087,1.53642,
13.5415,1.36529,1.42439,
13.5435,1.36696,1.51169,
13.5455,1.36339,1.47459,
13.5475,1.36449,1.51896,
13.5495,1.3665,1.52842,
13.5515,1.36734,1.53933,
13.5539,1.36643,1.51314,
13.5559,1.3656,1.50369,
13.5579,1.36652,1.54661,
13.5599,1.36563,1.22725,
13.5619,1.3672,1.54079,
13.5639,1.3687,1.54879,
13.5659,1.36999,1.5306,
13.5679,1.37129,1.50805,
13.5699,1.37237,1.54733,
13.5719,1.37427,1.51096,
13.5739,1.37538,1.53642,
13.5759,1.37529,1.50951,
13.5779,1.37383,1.53424,
13.5799,1.37231,1.4935,
13.5819,1.37286,1.54442,
13.5839,1.37221,1.53642,
13.5859,1.3693,1.43676,
13.5879,1.36837,1.51023,
13.5899,1.36637,1.53933,
13.5919,1.36352,1.49568,
13.5939,1.36384,1.53788,
13.5959,1.36358,1.54588,
13.5979,1.36427,1.53133,
13.5995,1.36648,1.56188,
13.6015,1.36509,1.51242,
13.6035,1.36449,1.49787,
13.6055,1.36486,1.56552,
13.6075,1.36418,1.50514,
13.6095,1.36627,1.56043,
13.6115,1.36624,1.53497,
13.6135,1.36519,1.52333,
13.6155,1.36568,1.50587,
13.6175,1.36799,1.56043,
13.6195,1.36866,1.51533,
13.6215,1.3707,1.53788,
13.6235,1.37166,1.53278,
13.6255,1.37121,1.53206,
13.6275,1.37283,1.5015,
