time [s],adc_buf[0],
14.8729,1634,
14.8749,1795,
14.877,1713,
14.8789,1666,
14.881,1696,
14.8829,1592,
14.8851,2042,
14.887,1940,
14.8889,1780,
14.891,2120,
14.8929,1686,
14.8949,2072,
14.8969,1550,
14.8985,1737,
14.9005,1652,
14.9025,1723,
14.9045,1681,
14.9065,1479,
14.9085,1810,
14.9105,1666,
14.9125,1716,
14.9145,1687,
14.9165,1678,
14.9189,2093,
14.9209,1551,
14.9229,1623,
14.9249,1691,
14.927,1736,
14.9289,1659,
14.9308,1671,
14.9325,1622,
14.9345,1675,
14.9359,1688,
14.9379,1765,
14.9399,1510,
14.9414,2074,
14.9435,2061,
14.9455,1725,
14.9475,1721,
14.9495,1506,
14.952,1943,
14.9539,1602,
14.9559,1752,
14.9579,1699,
14.9599,1684,
14.9619,2066,
14.964,1642,
14.9659,1725,
14.9679,1547,
14.9699,1711,
14.9715,1653,
14.9735,1681,
14.9755,1642,
14.9775,1471,
14.9795,1711,
14.9811,1657,
14.9829,2010,
14.9849,1632,
14.9869,1640,
14.9889,1696,
14.9909,1745,
14.9929,1680,
14.9949,2013,
14.997,1566,
14.9989,1659,
15.001,1707,
15.0025,1698,
15.0045,1649,
15.0065,1493,
15.0085,1783,
15.0105,1670,
15.0125,1793,
15.0146,1680,
15.0165,1679,
15.0186,1739,
15.0205,1893,
15.0225,1734,
15.0245,1656,
15.0265,1773,
15.0285,1731,
15.0306,1561,
15.0319,1922,
15.0339,1754,
15.0355,1686,
15.0375,2109,
15.0395,1491,
15.0415,1688,
15.0435,1661,
15.0455,1730,
15.0472,1815,
15.0489,1819,
15.051,1711,
15.0529,2292,
15.0549,2270,
15.0569,2155,
15.0589,2137,
15.061,2139,
15.0629,2074,
15.065,2102,
15.0669,1988,
15.0689,1883,
15.0709,1997,
15.0729,1970,
15.0749,1917,
15.0769,1885,
15.0789,1928,
15.081,1932,
15.0829,1960,
15.0849,1786,
15.087,1913,
15.089,1918,
15.0909,1796,
15.0929,1918,
15.0949,1883,
15.097,1805,
15.0989,1850,
15.101,1814,
15.1029,2275,
15.1045,1778,
15.1065,1831,
15.1085,1840,
15.1105,1821,
15.1125,1768,
15.1146,1729,
15.1165,2117,
15.1185,1745,
15.1205,1884,
15.1225,1681,
15.1245,1774,
15.1265,1770,
15.1285,1732,
15.1305,1509,
15.1318,1725,
15.134,2185,
15.136,2085,
15.138,2162,
15.1399,1674,
15.1419,1742,
15.144,1730,
15.1459,1685,
15.1479,1781,
15.1499,1717,
15.1515,1659,
15.1535,1692,
15.1555,1699,
15.1575,1626,
